Species,Island,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo)
Adelie Penguin (Pygoscelis adeliae),Torgersen,37.2,19.4,184,3900,MALE,8.3554
Adelie Penguin (Pygoscelis adeliae),Torgersen,36.2,16.1,187,3550,FEMALE,7.82381
Adelie Penguin (Pygoscelis adeliae),Torgersen,42.1,19.1,195,4000,MALE,9.05736
Adelie Penguin (Pygoscelis adeliae),Torgersen,34.6,17.2,189,3200,FEMALE,7.69778
Adelie Penguin (Pygoscelis adeliae),Torgersen,42.9,17.6,196,4700,MALE,8.63259
Adelie Penguin (Pygoscelis adeliae),Torgersen,36.7,18.8,187,3800,FEMALE,7.88494
Adelie Penguin (Pygoscelis adeliae),Torgersen,35.1,19.4,193,4200,MALE,8.90002
Adelie Penguin (Pygoscelis adeliae),Dream,37.3,17.8,191,3350,FEMALE,8.32718
Adelie Penguin (Pygoscelis adeliae),Dream,41.3,20.3,194,3550,MALE,9.14863
Adelie Penguin (Pygoscelis adeliae),Dream,36.3,19.5,190,3800,MALE,8.57087
Adelie Penguin (Pygoscelis adeliae),Dream,36.9,18.6,189,3500,FEMALE,8.59147
Adelie Penguin (Pygoscelis adeliae),Dream,38.3,19.2,189,3950,MALE,9.07826
Adelie Penguin (Pygoscelis adeliae),Dream,38.9,18.8,190,3600,FEMALE,8.36936
Adelie Penguin (Pygoscelis adeliae),Dream,35.7,18,202,3550,FEMALE,8.46531
Adelie Penguin (Pygoscelis adeliae),Dream,41.1,18.1,205,4300,MALE,8.77018
Adelie Penguin (Pygoscelis adeliae),Dream,34,17.1,185,3400,FEMALE,8.01485
Adelie Penguin (Pygoscelis adeliae),Dream,39.6,18.1,186,4450,MALE,8.49915
Adelie Penguin (Pygoscelis adeliae),Dream,36.2,17.3,187,3300,FEMALE,8.90723
Adelie Penguin (Pygoscelis adeliae),Dream,40.8,18.9,208,4300,MALE,8.48204
Adelie Penguin (Pygoscelis adeliae),Dream,38.1,18.6,190,3700,FEMALE,8.10277
Adelie Penguin (Pygoscelis adeliae),Dream,40.3,18.5,196,4350,MALE,8.39459
Adelie Penguin (Pygoscelis adeliae),Dream,33.1,16.1,178,2900,FEMALE,9.04218
Adelie Penguin (Pygoscelis adeliae),Dream,43.2,18.5,192,4100,MALE,8.97025
Adelie Penguin (Pygoscelis adeliae),Biscoe,35,17.9,192,3725,FEMALE,8.84451
Adelie Penguin (Pygoscelis adeliae),Biscoe,41,20,203,4725,MALE,9.01079
Adelie Penguin (Pygoscelis adeliae),Biscoe,37.7,16,183,3075,FEMALE,9.2151
Adelie Penguin (Pygoscelis adeliae),Biscoe,37.8,20,190,4250,MALE,9.51929
Adelie Penguin (Pygoscelis adeliae),Biscoe,37.9,18.6,193,2925,FEMALE,9.02642
Adelie Penguin (Pygoscelis adeliae),Biscoe,39.7,18.9,184,3550,MALE,8.85699
Adelie Penguin (Pygoscelis adeliae),Biscoe,38.6,17.2,199,3750,FEMALE,8.77322
Adelie Penguin (Pygoscelis adeliae),Biscoe,38.2,20,190,3900,MALE,9.59245
Adelie Penguin (Pygoscelis adeliae),Biscoe,38.1,17,181,3175,FEMALE,9.79532
Adelie Penguin (Pygoscelis adeliae),Biscoe,43.2,19,197,4775,MALE,9.31735
Adelie Penguin (Pygoscelis adeliae),Biscoe,38.1,16.5,198,3825,FEMALE,8.43951
Adelie Penguin (Pygoscelis adeliae),Biscoe,45.6,20.3,191,4600,MALE,8.65466
Adelie Penguin (Pygoscelis adeliae),Biscoe,39.7,17.7,193,3200,FEMALE,9.02657
Adelie Penguin (Pygoscelis adeliae),Biscoe,42.2,19.5,197,4275,MALE,8.80186
Adelie Penguin (Pygoscelis adeliae),Biscoe,39.6,20.7,191,3900,FEMALE,8.80967
Adelie Penguin (Pygoscelis adeliae),Biscoe,42.7,18.3,196,4075,MALE,8.91434
Adelie Penguin (Pygoscelis adeliae),Torgersen,38.6,17,188,2900,FEMALE,9.18021
Adelie Penguin (Pygoscelis adeliae),Torgersen,37.3,20.5,199,3775,MALE,9.49645
Adelie Penguin (Pygoscelis adeliae),Torgersen,35.7,17,189,3350,FEMALE,8.96436
Adelie Penguin (Pygoscelis adeliae),Torgersen,41.1,18.6,189,3325,MALE,9.32277
Adelie Penguin (Pygoscelis adeliae),Torgersen,36.2,17.2,187,3150,FEMALE,9.04296
Adelie Penguin (Pygoscelis adeliae),Torgersen,37.7,19.8,198,3500,MALE,9.11066
Adelie Penguin (Pygoscelis adeliae),Torgersen,40.2,17,176,3450,FEMALE,9.30722
Adelie Penguin (Pygoscelis adeliae),Torgersen,41.4,18.5,202,3875,MALE,9.59462
Adelie Penguin (Pygoscelis adeliae),Torgersen,35.2,15.9,186,3050,FEMALE,8.81668
Adelie Penguin (Pygoscelis adeliae),Torgersen,40.6,19,199,4000,MALE,9.22537
Adelie Penguin (Pygoscelis adeliae),Torgersen,38.8,17.6,191,3275,FEMALE,8.88098
Adelie Penguin (Pygoscelis adeliae),Torgersen,41.5,18.3,195,4300,MALE,8.52566
Adelie Penguin (Pygoscelis adeliae),Torgersen,39,17.1,191,3050,FEMALE,9.19031
Adelie Penguin (Pygoscelis adeliae),Torgersen,44.1,18,210,4000,MALE,9.10702
Adelie Penguin (Pygoscelis adeliae),Torgersen,38.5,17.9,190,3325,FEMALE,8.9846
Adelie Penguin (Pygoscelis adeliae),Torgersen,43.1,19.2,197,3500,MALE,8.86495
Adelie Penguin (Pygoscelis adeliae),Dream,36.8,18.5,193,3500,FEMALE,8.98705
Adelie Penguin (Pygoscelis adeliae),Dream,37.5,18.5,199,4475,MALE,8.56708
Adelie Penguin (Pygoscelis adeliae),Dream,38.1,17.6,187,3425,FEMALE,8.717
Adelie Penguin (Pygoscelis adeliae),Dream,41.1,17.5,190,3900,MALE,8.94365
Adelie Penguin (Pygoscelis adeliae),Dream,35.6,17.5,191,3175,FEMALE,8.75984
Adelie Penguin (Pygoscelis adeliae),Dream,40.2,20.1,200,3975,MALE,8.95998
Adelie Penguin (Pygoscelis adeliae),Dream,37,16.5,185,3400,FEMALE,8.61651
Adelie Penguin (Pygoscelis adeliae),Dream,39.7,17.9,193,4250,MALE,9.25769
Adelie Penguin (Pygoscelis adeliae),Dream,40.2,17.1,193,3400,FEMALE,9.2881
Adelie Penguin (Pygoscelis adeliae),Dream,40.6,17.2,187,3475,MALE,9.23408
Adelie Penguin (Pygoscelis adeliae),Dream,32.1,15.5,188,3050,FEMALE,8.79787
Adelie Penguin (Pygoscelis adeliae),Dream,40.7,17,190,3725,MALE,9.05674
Adelie Penguin (Pygoscelis adeliae),Dream,37.3,16.8,192,3000,FEMALE,9.06829
Adelie Penguin (Pygoscelis adeliae),Dream,39,18.7,185,3650,MALE,9.22033
Adelie Penguin (Pygoscelis adeliae),Dream,39.2,18.6,190,4250,MALE,9.11006
Adelie Penguin (Pygoscelis adeliae),Dream,36.6,18.4,184,3475,FEMALE,8.68744
Adelie Penguin (Pygoscelis adeliae),Dream,36,17.8,195,3450,FEMALE,8.94332
Adelie Penguin (Pygoscelis adeliae),Dream,37.8,18.1,193,3750,MALE,8.97533
Adelie Penguin (Pygoscelis adeliae),Dream,36,17.1,187,3700,FEMALE,8.93465
Adelie Penguin (Pygoscelis adeliae),Dream,41.5,18.5,201,4000,MALE,8.8964
Chinstrap penguin (Pygoscelis antarctica),Dream,46.5,17.9,192,3500,FEMALE,9.03935
Chinstrap penguin (Pygoscelis antarctica),Dream,50,19.5,196,3900,MALE,8.92069
Chinstrap penguin (Pygoscelis antarctica),Dream,51.3,19.2,193,3650,MALE,9.29078
Chinstrap penguin (Pygoscelis antarctica),Dream,45.4,18.7,188,3525,FEMALE,8.64701
Chinstrap penguin (Pygoscelis antarctica),Dream,52.7,19.8,197,3725,MALE,9.00642
Chinstrap penguin (Pygoscelis antarctica),Dream,45.2,17.8,198,3950,FEMALE,8.88942
Chinstrap penguin (Pygoscelis antarctica),Dream,46.1,18.2,178,3250,FEMALE,8.85664
Chinstrap penguin (Pygoscelis antarctica),Dream,51.3,18.2,197,3750,MALE,8.63701
Chinstrap penguin (Pygoscelis antarctica),Dream,46,18.9,195,4150,FEMALE,8.47173
Chinstrap penguin (Pygoscelis antarctica),Dream,51.3,19.9,198,3700,MALE,8.79581
Chinstrap penguin (Pygoscelis antarctica),Dream,46.6,17.8,193,3800,FEMALE,8.95063
Chinstrap penguin (Pygoscelis antarctica),Dream,51.7,20.3,194,3775,MALE,8.68747
Chinstrap penguin (Pygoscelis antarctica),Dream,47,17.3,185,3700,FEMALE,8.72037
Chinstrap penguin (Pygoscelis antarctica),Dream,52,18.1,201,4050,MALE,9.0233
Chinstrap penguin (Pygoscelis antarctica),Dream,45.9,17.1,190,3575,FEMALE,9.12277
Chinstrap penguin (Pygoscelis antarctica),Dream,50.5,19.6,201,4050,MALE,9.8059
Chinstrap penguin (Pygoscelis antarctica),Dream,50.3,20,197,3300,MALE,10.02019
Chinstrap penguin (Pygoscelis antarctica),Dream,58,17.8,181,3700,FEMALE,9.14382
Chinstrap penguin (Pygoscelis antarctica),Dream,46.4,18.6,190,3450,FEMALE,9.32105
Chinstrap penguin (Pygoscelis antarctica),Dream,49.2,18.2,195,4400,MALE,9.27158
Chinstrap penguin (Pygoscelis antarctica),Dream,42.4,17.3,181,3600,FEMALE,9.35138
Chinstrap penguin (Pygoscelis antarctica),Dream,48.5,17.5,191,3400,MALE,9.42666
Chinstrap penguin (Pygoscelis antarctica),Dream,43.2,16.6,187,2900,FEMALE,9.35416
Chinstrap penguin (Pygoscelis antarctica),Dream,50.6,19.4,193,3800,MALE,9.28153
Chinstrap penguin (Pygoscelis antarctica),Dream,46.7,17.9,195,3300,FEMALE,9.74144
Chinstrap penguin (Pygoscelis antarctica),Dream,52,19,197,4150,MALE,9.36799
Chinstrap penguin (Pygoscelis antarctica),Dream,50.5,18.4,200,3400,FEMALE,8.9399
Chinstrap penguin (Pygoscelis antarctica),Dream,49.5,19,200,3800,MALE,9.63074
Chinstrap penguin (Pygoscelis antarctica),Dream,46.4,17.8,191,3700,FEMALE,9.37369
Chinstrap penguin (Pygoscelis antarctica),Dream,52.8,20,205,4550,MALE,9.25177
Chinstrap penguin (Pygoscelis antarctica),Dream,40.9,16.6,187,3200,FEMALE,9.08458
Chinstrap penguin (Pygoscelis antarctica),Dream,54.2,20.8,201,4300,MALE,9.49283
Chinstrap penguin (Pygoscelis antarctica),Dream,42.5,16.7,187,3350,FEMALE,9.36668
Chinstrap penguin (Pygoscelis antarctica),Dream,51,18.8,203,4100,MALE,9.23196
Chinstrap penguin (Pygoscelis antarctica),Dream,49.7,18.6,195,3600,MALE,9.75486
Chinstrap penguin (Pygoscelis antarctica),Dream,47.5,16.8,199,3900,FEMALE,9.07825
Chinstrap penguin (Pygoscelis antarctica),Dream,47.6,18.3,195,3850,FEMALE,8.83502
Chinstrap penguin (Pygoscelis antarctica),Dream,52,20.7,210,4800,MALE,9.43146
Chinstrap penguin (Pygoscelis antarctica),Dream,46.9,16.6,192,2700,FEMALE,9.80589
Chinstrap penguin (Pygoscelis antarctica),Dream,53.5,19.9,205,4500,MALE,10.02544
Chinstrap penguin (Pygoscelis antarctica),Dream,49,19.5,210,3950,MALE,9.53262
Chinstrap penguin (Pygoscelis antarctica),Dream,46.2,17.5,187,3650,FEMALE,9.61734
Chinstrap penguin (Pygoscelis antarctica),Dream,50.9,19.1,196,3550,MALE,10.02372
Chinstrap penguin (Pygoscelis antarctica),Dream,45.5,17,196,3500,FEMALE,9.36493
Chinstrap penguin (Pygoscelis antarctica),Dream,50.9,17.9,196,3675,FEMALE,9.43684
Chinstrap penguin (Pygoscelis antarctica),Dream,50.8,18.5,201,4450,MALE,9.45827
Chinstrap penguin (Pygoscelis antarctica),Dream,50.1,17.9,190,3400,FEMALE,9.46819
Chinstrap penguin (Pygoscelis antarctica),Dream,49,19.6,212,4300,MALE,9.34089
Chinstrap penguin (Pygoscelis antarctica),Dream,51.5,18.7,187,3250,MALE,9.6895
Chinstrap penguin (Pygoscelis antarctica),Dream,49.8,17.3,198,3675,FEMALE,9.32169
Chinstrap penguin (Pygoscelis antarctica),Dream,48.1,16.4,199,3325,FEMALE,9.46929
Chinstrap penguin (Pygoscelis antarctica),Dream,51.4,19,201,3950,MALE,9.43782
Chinstrap penguin (Pygoscelis antarctica),Dream,45.7,17.3,193,3600,FEMALE,9.415
Chinstrap penguin (Pygoscelis antarctica),Dream,50.7,19.7,203,4050,MALE,9.93727
Chinstrap penguin (Pygoscelis antarctica),Dream,42.5,17.3,187,3350,FEMALE,9.56534
Chinstrap penguin (Pygoscelis antarctica),Dream,52.2,18.8,197,3450,MALE,9.77528
Chinstrap penguin (Pygoscelis antarctica),Dream,45.2,16.6,191,3250,FEMALE,9.62357
Chinstrap penguin (Pygoscelis antarctica),Dream,49.3,19.9,203,4050,MALE,9.88809
Chinstrap penguin (Pygoscelis antarctica),Dream,50.2,18.8,202,3800,MALE,9.74492
Chinstrap penguin (Pygoscelis antarctica),Dream,45.6,19.4,194,3525,FEMALE,9.46985
Chinstrap penguin (Pygoscelis antarctica),Dream,51.9,19.5,206,3950,MALE,
Chinstrap penguin (Pygoscelis antarctica),Dream,46.8,16.5,189,3650,FEMALE,9.65061
Chinstrap penguin (Pygoscelis antarctica),Dream,45.7,17,195,3650,FEMALE,9.26715
Chinstrap penguin (Pygoscelis antarctica),Dream,55.8,19.8,207,4000,MALE,9.70465
Chinstrap penguin (Pygoscelis antarctica),Dream,43.5,18.1,202,3400,FEMALE,9.37608
Chinstrap penguin (Pygoscelis antarctica),Dream,49.6,18.2,193,3775,MALE,9.4618
Chinstrap penguin (Pygoscelis antarctica),Dream,50.8,19,210,4100,MALE,9.98044
Chinstrap penguin (Pygoscelis antarctica),Dream,50.2,18.7,198,3775,FEMALE,9.39305
Gentoo penguin (Pygoscelis papua),Biscoe,46.1,13.2,211,4500,FEMALE,7.993
Gentoo penguin (Pygoscelis papua),Biscoe,50,16.3,230,5700,MALE,8.14756
Gentoo penguin (Pygoscelis papua),Biscoe,48.7,14.1,210,4450,FEMALE,8.14705
Gentoo penguin (Pygoscelis papua),Biscoe,50,15.2,218,5700,MALE,8.2554
Gentoo penguin (Pygoscelis papua),Biscoe,47.6,14.5,215,5400,MALE,8.2345
Gentoo penguin (Pygoscelis papua),Biscoe,46.5,13.5,210,4550,FEMALE,7.9953
Gentoo penguin (Pygoscelis papua),Biscoe,45.4,14.6,211,4800,FEMALE,8.24515
Gentoo penguin (Pygoscelis papua),Biscoe,46.7,15.3,219,5200,MALE,8.22673
Gentoo penguin (Pygoscelis papua),Biscoe,43.3,13.4,209,4400,FEMALE,8.13643
Gentoo penguin (Pygoscelis papua),Biscoe,46.8,15.4,215,5150,MALE,8.1631
Gentoo penguin (Pygoscelis papua),Biscoe,40.9,13.7,214,4650,FEMALE,8.19579
Gentoo penguin (Pygoscelis papua),Biscoe,49,16.1,216,5550,MALE,8.10417
Gentoo penguin (Pygoscelis papua),Biscoe,45.5,13.7,214,4650,FEMALE,7.77672
Gentoo penguin (Pygoscelis papua),Biscoe,48.4,14.6,213,5850,MALE,7.8208
Gentoo penguin (Pygoscelis papua),Biscoe,45.8,14.6,210,4200,FEMALE,7.79958
Gentoo penguin (Pygoscelis papua),Biscoe,49.3,15.7,217,5850,MALE,8.07137
Gentoo penguin (Pygoscelis papua),Biscoe,42,13.5,210,4150,FEMALE,7.63884
Gentoo penguin (Pygoscelis papua),Biscoe,49.2,15.2,221,6300,MALE,8.27376
Gentoo penguin (Pygoscelis papua),Biscoe,46.2,14.5,209,4800,FEMALE,7.84057
Gentoo penguin (Pygoscelis papua),Biscoe,48.7,15.1,222,5350,MALE,7.96491
Gentoo penguin (Pygoscelis papua),Biscoe,50.2,14.3,218,5700,MALE,7.8962
Gentoo penguin (Pygoscelis papua),Biscoe,45.1,14.5,215,5000,FEMALE,7.6322
Gentoo penguin (Pygoscelis papua),Biscoe,46.5,14.5,213,4400,FEMALE,7.90436
Gentoo penguin (Pygoscelis papua),Biscoe,46.3,15.8,215,5050,MALE,7.90971
Gentoo penguin (Pygoscelis papua),Biscoe,42.9,13.1,215,5000,FEMALE,7.68528
Gentoo penguin (Pygoscelis papua),Biscoe,46.1,15.1,215,5100,MALE,7.83733
Gentoo penguin (Pygoscelis papua),Biscoe,44.5,14.3,216,4100,,7.96621
Gentoo penguin (Pygoscelis papua),Biscoe,47.8,15,215,5650,MALE,7.92358
Gentoo penguin (Pygoscelis papua),Biscoe,48.2,14.3,210,4600,FEMALE,7.6887
Gentoo penguin (Pygoscelis papua),Biscoe,50,15.3,220,5550,MALE,8.30515
Gentoo penguin (Pygoscelis papua),Biscoe,47.3,15.3,222,5250,MALE,
Gentoo penguin (Pygoscelis papua),Biscoe,42.8,14.2,209,4700,FEMALE,7.63452
Gentoo penguin (Pygoscelis papua),Biscoe,45.1,14.5,207,5050,FEMALE,7.97408
Gentoo penguin (Pygoscelis papua),Biscoe,59.6,17,230,6050,MALE,7.76843
Gentoo penguin (Pygoscelis papua),Biscoe,49.1,14.8,220,5150,FEMALE,7.89744
Gentoo penguin (Pygoscelis papua),Biscoe,48.4,16.3,220,5400,MALE,8.03659
Gentoo penguin (Pygoscelis papua),Biscoe,42.6,13.7,213,4950,FEMALE,7.96935
Gentoo penguin (Pygoscelis papua),Biscoe,44.4,17.3,219,5250,MALE,8.13746
Gentoo penguin (Pygoscelis papua),Biscoe,44,13.6,208,4350,FEMALE,8.01979
Gentoo penguin (Pygoscelis papua),Biscoe,48.7,15.7,208,5350,MALE,8.14776
Gentoo penguin (Pygoscelis papua),Biscoe,42.7,13.7,208,3950,FEMALE,8.14567
Gentoo penguin (Pygoscelis papua),Biscoe,49.6,16,225,5700,MALE,8.38324
Gentoo penguin (Pygoscelis papua),Biscoe,45.3,13.7,210,4300,FEMALE,8.37615
Gentoo penguin (Pygoscelis papua),Biscoe,49.6,15,216,4750,MALE,8.26548
Gentoo penguin (Pygoscelis papua),Biscoe,50.5,15.9,222,5550,MALE,8.46894
Gentoo penguin (Pygoscelis papua),Biscoe,43.6,13.9,217,4900,FEMALE,8.27141
Gentoo penguin (Pygoscelis papua),Biscoe,45.5,13.9,210,4200,FEMALE,8.47829
Gentoo penguin (Pygoscelis papua),Biscoe,50.5,15.9,225,5400,MALE,8.65803
Gentoo penguin (Pygoscelis papua),Biscoe,44.9,13.3,213,5100,FEMALE,8.45167
Gentoo penguin (Pygoscelis papua),Biscoe,45.2,15.8,215,5300,MALE,8.55868
Gentoo penguin (Pygoscelis papua),Biscoe,46.6,14.2,210,4850,FEMALE,8.38289
Gentoo penguin (Pygoscelis papua),Biscoe,48.5,14.1,220,5300,MALE,8.39867
Gentoo penguin (Pygoscelis papua),Biscoe,45.1,14.4,210,4400,FEMALE,8.51951
Gentoo penguin (Pygoscelis papua),Biscoe,50.1,15,225,5000,MALE,8.50153
Gentoo penguin (Pygoscelis papua),Biscoe,46.5,14.4,217,4900,FEMALE,8.48789
Gentoo penguin (Pygoscelis papua),Biscoe,45,15.4,220,5050,MALE,8.63488
Gentoo penguin (Pygoscelis papua),Biscoe,43.8,13.9,208,4300,FEMALE,8.58319
Gentoo penguin (Pygoscelis papua),Biscoe,45.5,15,220,5000,MALE,8.63604
Gentoo penguin (Pygoscelis papua),Biscoe,43.2,14.5,208,4450,FEMALE,8.48367
Gentoo penguin (Pygoscelis papua),Biscoe,50.4,15.3,224,5550,MALE,8.74647
Gentoo penguin (Pygoscelis papua),Biscoe,45.3,13.8,208,4200,FEMALE,8.65015
Gentoo penguin (Pygoscelis papua),Biscoe,46.2,14.9,221,5300,MALE,8.60092
Gentoo penguin (Pygoscelis papua),Biscoe,45.7,13.9,214,4400,FEMALE,8.6287
Gentoo penguin (Pygoscelis papua),Biscoe,54.3,15.7,231,5650,MALE,8.49662
Gentoo penguin (Pygoscelis papua),Biscoe,45.8,14.2,219,4700,FEMALE,8.60447
Gentoo penguin (Pygoscelis papua),Biscoe,49.8,16.8,230,5700,MALE,8.47067
Gentoo penguin (Pygoscelis papua),Biscoe,46.2,14.4,214,4650,,8.24253
Gentoo penguin (Pygoscelis papua),Biscoe,49.5,16.2,229,5800,MALE,8.49854
